id,cable_id,description,name,color,cost (millions),Lit,Max,coordinates,length,rfs,year,owners,url
balkans-italy-network-bin,1668,"[{""landing_point_id"":3160,""latlon"":""41.125478,16.866673"",""name"":""Bari, Italy""},{""landing_point_id"":10178,""latlon"":""41.210830,19.354172"",""name"":""Gjirin e Lalezit, Albania""}]",Balkans-Italy Network (BIN),#9ea0a2,,,,"<MultiGeometry><LineString><coordinates>16.868812285319,41.1257125894655,0 18.1585574654014,41.2108412838697,0 19.3541620871739,41.2108412838697,0</coordinates></LineString></MultiGeometry>",276 km,n.a.,0,UNIFI Communications,http://bin.al
baltic-sea-submarine-cable,1624,"[{""landing_point_id"":3064,""latlon"":""60.171075,24.932490"",""name"":""Helsinki, Finland""},{""landing_point_id"":3063,""latlon"":""59.332208,18.062864"",""name"":""Stockholm, Sweden""},{""landing_point_id"":3089,""latlon"":""59.436212,24.752412"",""name"":""Tallinn, Estonia""}]",Baltic Sea Submarine Cable,#0982c5,,,,"<MultiGeometry><LineString><coordinates>22.2977146894336,59.548119956485,0 19.1192989723031,59.4316091082152,0 18.0627567520176,59.3323082610704,0 19.1192989723031,59.4865928283526,0 24.4400959842506,59.7893245728686,0 24.9324784479423,60.1711634609618,0 24.752498106692,59.4364014085803,0 22.2977146894336,59.548119956485,0</coordinates></LineString></MultiGeometry>",550 km,2000,2000,LinxTelecom,http://www.linxtelecom.com
bass-strait-1,1472,"[{""landing_point_id"":7813,""latlon"":""-40.950850,145.623741"",""name"":""Boat Harbour, Tasmania, Australia""},{""landing_point_id"":10799,""latlon"":""-38.820187,146.119639"",""name"":""Sandy Point, Australia""}]",Bass Strait-1,#548f51,,,,"<MultiGeometry><LineString><coordinates>146.119697285279,-38.819878323118,0 145.623799199078,-40.950499499957,0</coordinates></LineString></MultiGeometry>",241 km,1995,1995,Telstra,
bass-strait-2,1492,"[{""landing_point_id"":7860,""latlon"":""-38.633468,145.729405"",""name"":""Inverloch, Australia""},{""landing_point_id"":7861,""latlon"":""-40.760420,145.294053"",""name"":""Stanley, Australia""}]",Bass Strait-2,#1ca5de,,,,"<MultiGeometry><LineString><coordinates>145.729658499087,-38.6333001995536,0 145.294111932632,-40.7602272053386,0</coordinates></LineString></MultiGeometry>",239 km,2003,2003,Telstra,
batam-dumai-melaka-bdm-cable-system,1648,"[{""landing_point_id"":5862,""latlon"":""1.134677,103.962530"",""name"":""Batam, Indonesia""},{""landing_point_id"":7311,""latlon"":""1.665341,101.447590"",""name"":""Dumai, Indonesia""},{""landing_point_id"":6300,""latlon"":""2.273153,102.220929"",""name"":""Melaka, Malaysia""}]",Batam Dumai Melaka (BDM) Cable System,#ffd633,,,,"<MultiGeometry><LineString><coordinates>101.447658618871,1.66552076688674,0 101.670607679682,1.70788518470102,0 101.775685730243,1.78138619628918,0 101.913966882284,1.9600992886902,0 102.220900258599,2.27326375835897,0</coordinates></LineString><LineString><coordinates>103.962598243514,1.13472453594225,0 103.006153608568,1.20873243722405,0 102.269435380466,1.7882188125362,0 101.70019750247,1.69568354620312,0 101.447658618871,1.66552076688674,0</coordinates></LineString></MultiGeometry>",353 km,9-Nov,2009,"Moratelindo,  Telekom Malaysia",http://www.moratelindo.co.id
batam-rengit-cable-system-brcs,1601,"[{""landing_point_id"":5862,""latlon"":""1.134677,103.962530"",""name"":""Batam, Indonesia""},{""landing_point_id"":8970,""latlon"":""1.677157,103.147687"",""name"":""Rengit, Malaysia""}]",Batam-Rengit Cable System (BRCS),#38bced,,,,"<MultiGeometry><LineString><coordinates>103.147755070757,1.67742975156203,0 103.491700139603,1.21742188937071,0 103.962598243514,1.13472453594225,0</coordinates></LineString></MultiGeometry>",63 km,7-Nov,2007,PT Excelcomindo Pratama,http://www.xl.co.id/en/home
batam-singapore-cable-system-bscs,1785,"[{""landing_point_id"":5862,""latlon"":""1.134677,103.962530"",""name"":""Batam, Indonesia""},{""landing_point_id"":3029,""latlon"":""1.293661,103.853057"",""name"":""Singapore, Singapore""}]",Batam Singapore Cable System (BSCS),#f04230,,,,"<MultiGeometry><LineString><coordinates>103.853028008635,1.29406357456417,0 103.962598243514,1.13472453594225,0</coordinates></LineString></MultiGeometry>",73 km,2009,2009,Telkom Indonesia,http://www.telin.sg
bay-of-bengal-gateway-bbg,1735,"[{""landing_point_id"":8947,""latlon"":""23.679393,58.004349"",""name"":""Barka, Oman""},{""landing_point_id"":4191,""latlon"":""13.063480,80.243108"",""name"":""Chennai, India""},{""landing_point_id"":5962,""latlon"":""25.121677,56.333744"",""name"":""Fujairah, United Arab Emirates""},{""landing_point_id"":3212,""latlon"":""19.075782,72.875924"",""name"":""Mumbai, India""},{""landing_point_id"":3307,""latlon"":""5.353620,100.363020"",""name"":""Penang, Malaysia""},{""landing_point_id"":14621,""latlon"":""6.820417,79.889299"",""name"":""Ratmalana, Sri Lanka""}]",Bay of Bengal Gateway (BBG),#9ea0a2,,,,"<MultiGeometry><LineString><coordinates>58.4521812647703,24.7603254966307,0 56.3337257342541,25.121693117297,0</coordinates></LineString><LineString><coordinates>79.8893731097125,6.8207754640209,0 79.1245299015346,4.21828529188932,0</coordinates></LineString><LineString><coordinates>80.2429861404597,13.0638540151191,0 90.8734473597412,12.0998906686325,0 97.4811575225274,7.41498544346832,0 100.362991418509,5.35384301658567,0</coordinates></LineString><LineString><coordinates>70.8904537033814,16.8059642492567,0 72.8759015156215,19.0760738142769,0</coordinates></LineString><LineString><coordinates>97.4807668978041,7.41527596194864,0 81.9828286579389,2.86933956716657,0 79.1245299015346,4.21828529188932,0 74.0764866026158,6.59450323510863,0 70.8904537033814,16.8059642492567,0 70.650024186204,17.5023459523653,0 62.5242486925795,24.0901702281118,0 58.4521812647703,24.7603254966307,0 58.0044276757132,23.6796023153039,0</coordinates></LineString></MultiGeometry>","8,100 km",Q1 2016,2016,"Vodafone,  Telekom Malaysia,  Omantel,  Reliance Jio Infocomm,  Dialog Axiata,  Etisalat,  Gulf Bridge International",
bcs-east,1611,"[{""landing_point_id"":5310,""latlon"":""56.508186,21.011300"",""name"":""Liepaja, Latvia""},{""landing_point_id"":5311,""latlon"":""56.028303,21.082394"",""name"":""Sventoji, Lithuania""}]",BCS East,#548f51,,,,"<MultiGeometry><LineString><coordinates>21.0111921633183,56.508368882221,0 20.8088485566604,56.3545845109984,0 21.0826764876781,56.0285065012362,0</coordinates></LineString></MultiGeometry>",97.8 km,1995,1995,TeliaSonera,
bcs-east-west-interlink,1222,"[{""landing_point_id"":10365,""latlon"":""57.431037,18.845286"",""name"":""Katthammarsvik, Sweden""},{""landing_point_id"":5311,""latlon"":""56.028303,21.082394"",""name"":""Sventoji, Lithuania""}]",BCS East-West Interlink,#f04230,,,,"<MultiGeometry><LineString><coordinates>21.0826764876781,56.0285065012362,0 18.829455427631,57.439737995481,0</coordinates></LineString></MultiGeometry>",218 km,Nov-97,1997,TeliaSonera,
bcs-north---phase-1,1609,"[{""landing_point_id"":7694,""latlon"":""59.823223,22.968233"",""name"":""Hangö, Finland""},{""landing_point_id"":9104,""latlon"":""60.300957,22.302120"",""name"":""Haradsholm, Finland""},{""landing_point_id"":9103,""latlon"":""60.171075,24.932490"",""name"":""Helsingfors, Finland""},{""landing_point_id"":5830,""latlon"":""60.113848,19.937863"",""name"":""Mariehamn, Finland""},{""landing_point_id"":5952,""latlon"":""59.822735,18.764621"",""name"":""Stavsnas, Sweden""}]",BCS North - Phase 1,#f37380,,,,"<MultiGeometry><LineString><coordinates>24.9324784479423,60.1711634609618,0 24.6400958425688,59.9786814223726,0 23.3988857843537,59.8234094268152,0 22.9667571842276,59.8234094268152,0 22.6427339762687,59.8777061151449,0 22.298593595061,60.0366025499844,0 22.298593595061,60.3057559792035,0 22.0825781230884,60.0906000076373,0 20.5495713965847,59.9486191575139,0 19.9377554237509,60.0060314691092,0 19.9377554237509,60.1140379734951,0 18.7646117235669,59.8228203593843,0</coordinates></LineString></MultiGeometry>",513 km,1998,1998,TeliaSonera,
bcs-north---phase-2,1610,"[{""landing_point_id"":9103,""latlon"":""60.171075,24.932490"",""name"":""Helsingfors, Finland""},{""landing_point_id"":4552,""latlon"":""60.501055,26.883563"",""name"":""Kotka, Finland""},{""landing_point_id"":9102,""latlon"":""59.799883,28.499871"",""name"":""Logi, Russia""}]",BCS North - Phase 2,#f89635,,,,"<MultiGeometry><LineString><coordinates>26.8836489407148,60.5011405607551,0 28.4999563894574,59.7999859737024,0</coordinates></LineString><LineString><coordinates>26.8836489407148,60.5011405607551,0 26.0602120240452,60.1620057552763,0 24.9324784479423,60.1711634609618,0</coordinates></LineString></MultiGeometry>",280.4 km,2000,2000,TeliaSonera,
best-cable,1851,"[{""landing_point_id"":6009,""latlon"":""5.981354,116.074341"",""name"":""Kota Kinabalu, Malaysia""},{""landing_point_id"":15115,""latlon"":""1.490732,124.839669"",""name"":""Manado, Indonesia""},{""landing_point_id"":16370,""latlon"":""13.419241,144.646007"",""name"":""North Tipalao, GU, United States""},{""landing_point_id"":16369,""latlon"":""7.234088,124.312423"",""name"":""Parang, Philippines""},{""landing_point_id"":9725,""latlon"":""-0.502236,117.153832"",""name"":""Samarinda, Indonesia""},{""landing_point_id"":16259,""latlon"":""4.244636,117.891234"",""name"":""Tawau, Malaysia""},{""landing_point_id"":5970,""latlon"":""4.926374,114.885865"",""name"":""Tungku, Brunei""}]",BEST Cable,#9ea0a2,,,,"<MultiGeometry><LineString><coordinates>124.565903960439,2.76087695888156,0 124.538462573629,1.94009136611918,0 124.839634235276,1.49078257623188,0</coordinates></LineString><LineString><coordinates>123.000377725722,3.05288303055162,0 123.671373344133,6.80370931672771,0 123.930748160389,7.16293768850593,0 124.312388515032,7.23405234112528,0</coordinates></LineString><LineString><coordinates>117.891201657611,4.24467797580139,0 123.000377725722,3.05288303055162,0 124.565903960439,2.76087695888156,0 130.930157264442,4.60843255296446,0 135.291189331296,10.2772806237716,0 144.645967860533,13.4191869613101,0</coordinates></LineString><LineString><coordinates>114.885637380531,4.92676027347057,0 114.885832692892,5.32477051139455,0 115.574015799127,5.88176166459908,0 116.074308413465,5.98132332237813,0 117.790811103728,5.73496078888067,0 117.891201657611,4.24467797580139,0 118.678505787377,2.71571377610874,0 119.321083457169,2.11595750969876,0 119.504872389471,1.13062377778607,0 119.408095114279,0.448564156244144,0 118.262783425629,-0.415880122209754,0 117.153799836243,-0.502205407244186,0</coordinates></LineString></MultiGeometry>","5,092 km",2018,2018,BEST Cable Corporation,http://www.bestcablecorp.com
bharat-lanka-cable-system,1356,"[{""landing_point_id"":5949,""latlon"":""6.832721,79.866741"",""name"":""Mt. Lavinia, Sri Lanka""},{""landing_point_id"":7678,""latlon"":""8.802252,78.145160"",""name"":""Tuticorine, India""}]",Bharat Lanka Cable System,#895c3c,,,,"<MultiGeometry><LineString><coordinates>78.1452337202772,8.80249906291443,0 78.5545107740915,7.52730489074661,0 79.8668145319432,6.83308986319355,0</coordinates></LineString></MultiGeometry>",325 km,6-Jun,2006,"Bharat Sanchar Nigam Ltd. (BSNL),  Sri Lanka Telecom",
